,class_name,instance_count,rule_list
10,21,33,"Proportion:[1.000]
 (gk_kicking <= 22.170) and (defenceDefenderLineClass_Offside Trap > 0.500)

"
11,4,29,"Proportion:[0.429]
 (gk_kicking <= 22.170) and (defenceDefenderLineClass_Offside Trap <= 0.500) and (reactions <= 69.111) and (volleys > 42.240) and (shot_power > 58.297) and (standing_tackle > 52.708) and (buildUpPlayDribbling <= 40.750) and (stamina <= 67.769)

Proportion:[0.733]
 (gk_kicking <= 22.170) and (defenceDefenderLineClass_Offside Trap <= 0.500) and (reactions > 69.111) and (buildUpPlayDribbling > 40.750) and (long_shots <= 60.619) and (weight <= 174.516) and (short_passing > 63.706) and (finishing <= 45.724)

"
12,8,29,"Proportion:[0.727]
 (gk_kicking <= 22.170) and (defenceDefenderLineClass_Offside Trap <= 0.500) and (reactions > 69.111) and (buildUpPlayDribbling <= 40.750) and (buildUpPlayPassing <= 46.500) and (overall_rating <= 81.450) and (sliding_tackle <= 54.603) and (aggression <= 65.264)

Proportion:[0.500]
 (gk_kicking <= 22.170) and (defenceDefenderLineClass_Offside Trap <= 0.500) and (reactions > 69.111) and (buildUpPlayDribbling > 40.750) and (long_shots > 60.619) and (buildUpPlayDribbling <= 46.250) and (defensive_work_rate_high <= 0.488) and (gk_reflexes <= 16.790)

"
13,23,29,"Proportion:[1.000]
 (gk_kicking > 22.170) and (defencePressure <= 42.500) and (defenceAggression > 32.500) and (defenceTeamWidth <= 42.500) and (aggression > 64.469)

Proportion:[0.800]
 (gk_kicking > 22.170) and (defencePressure > 42.500) and (balance <= 68.852) and (volleys > 40.922) and (penalties > 60.575)

Proportion:[1.000]
 (gk_kicking > 22.170) and (defencePressure > 42.500) and (balance > 68.852) and (defencePressure <= 62.500) and (standing_tackle <= 58.701) and (buildUpPlayPassing > 47.500) and (defensive_work_rate_low > 0.076)

"
14,7,28,"Proportion:[0.333]
 (gk_kicking > 22.170) and (defencePressure > 42.500) and (balance > 68.852) and (defencePressure <= 62.500) and (standing_tackle <= 58.701) and (buildUpPlayPassing <= 47.500) and (chanceCreationShooting <= 65.500)

Proportion:[1.000]
 (gk_kicking > 22.170) and (defencePressure > 42.500) and (balance > 68.852) and (defencePressure <= 62.500) and (standing_tackle <= 58.701) and (buildUpPlayPassing <= 47.500) and (chanceCreationShooting > 65.500)

Proportion:[0.333]
 (gk_kicking > 22.170) and (defencePressure > 42.500) and (balance > 68.852) and (defencePressure > 62.500) and (gk_kicking <= 32.723)

Proportion:[1.000]
 (gk_kicking > 22.170) and (defencePressure > 42.500) and (balance > 68.852) and (defencePressure > 62.500) and (gk_kicking > 32.723)

"
15,15,27,"Proportion:[0.600]
 (gk_kicking <= 22.170) and (defenceDefenderLineClass_Offside Trap <= 0.500) and (reactions <= 69.111) and (volleys > 42.240) and (shot_power > 58.297) and (standing_tackle <= 52.708) and (curve <= 49.088) and (preferred_foot_right <= 75.798)

"
16,16,27,"Proportion:[1.000]
 (gk_kicking > 22.170) and (defencePressure > 42.500) and (balance <= 68.852) and (volleys > 40.922) and (penalties <= 60.575)

Proportion:[0.500]
 (gk_kicking > 22.170) and (defencePressure > 42.500) and (balance > 68.852) and (defencePressure <= 62.500) and (standing_tackle <= 58.701) and (buildUpPlayPassing > 47.500) and (defensive_work_rate_low <= 0.076) and (defencePressure <= 57.500)

"
17,13,27,"Proportion:[0.500]
 (gk_kicking <= 22.170) and (defenceDefenderLineClass_Offside Trap <= 0.500) and (reactions > 69.111) and (buildUpPlayDribbling <= 40.750) and (buildUpPlayPassing > 46.500) and (reactions <= 76.318) and (sliding_tackle <= 52.130)

"
18,9,22,"Proportion:[1.000]
 (gk_kicking <= 22.170) and (defenceDefenderLineClass_Offside Trap <= 0.500) and (reactions > 69.111) and (buildUpPlayDribbling <= 40.750) and (buildUpPlayPassing <= 46.500) and (overall_rating > 81.450)

"
19,14,18,"Proportion:[0.692]
 (gk_kicking <= 22.170) and (defenceDefenderLineClass_Offside Trap <= 0.500) and (reactions > 69.111) and (buildUpPlayDribbling <= 40.750) and (buildUpPlayPassing <= 46.500) and (overall_rating <= 81.450) and (sliding_tackle > 54.603) and (acceleration <= 72.706)

Proportion:[0.500]
 (gk_kicking <= 22.170) and (defenceDefenderLineClass_Offside Trap <= 0.500) and (reactions > 69.111) and (buildUpPlayDribbling <= 40.750) and (buildUpPlayPassing > 46.500) and (reactions <= 76.318) and (sliding_tackle > 52.130) and (chanceCreationCrossing <= 43.000)

"
20,19,16,"Proportion:[1.000]
 (gk_kicking > 22.170) and (defencePressure <= 42.500) and (defenceAggression > 32.500) and (defenceTeamWidth > 42.500) and (aggression > 68.130)

Proportion:[1.000]
 (gk_kicking > 22.170) and (defencePressure > 42.500) and (balance > 68.852) and (defencePressure <= 62.500) and (standing_tackle > 58.701) and (stamina <= 75.963)

Proportion:[0.667]
 (gk_kicking > 22.170) and (defencePressure > 42.500) and (balance > 68.852) and (defencePressure <= 62.500) and (standing_tackle > 58.701) and (stamina > 75.963)

"
21,11,13,
22,12,11,"Proportion:[1.000]
 (gk_kicking > 22.170) and (defencePressure > 42.500) and (balance <= 68.852) and (volleys <= 40.922)

Proportion:[1.000]
 (gk_kicking > 22.170) and (defencePressure > 42.500) and (balance > 68.852) and (defencePressure <= 62.500) and (standing_tackle <= 58.701) and (buildUpPlayPassing > 47.500) and (defensive_work_rate_low <= 0.076) and (defencePressure > 57.500)

"
23,0,11,"Proportion:[1.000]
 (gk_kicking <= 22.170) and (defenceDefenderLineClass_Offside Trap <= 0.500) and (reactions > 69.111) and (buildUpPlayDribbling <= 40.750) and (buildUpPlayPassing <= 46.500) and (overall_rating <= 81.450) and (sliding_tackle > 54.603) and (acceleration > 72.706)

Proportion:[1.000]
 (gk_kicking <= 22.170) and (defenceDefenderLineClass_Offside Trap <= 0.500) and (reactions > 69.111) and (buildUpPlayDribbling <= 40.750) and (buildUpPlayPassing > 46.500) and (reactions > 76.318) and (volleys > 54.767) and (gk_diving <= 16.495)

Proportion:[1.000]
 (gk_kicking <= 22.170) and (defenceDefenderLineClass_Offside Trap <= 0.500) and (reactions > 69.111) and (buildUpPlayDribbling > 40.750) and (long_shots > 60.619) and (buildUpPlayDribbling <= 46.250) and (defensive_work_rate_high > 0.488)

"
